image,split,symbol,timeframe,start_ts,end_ts,bars,img_w,img_h,y_head_and_shoulders,p_head_and_shoulders,lf_votes_head_and_shoulders,lf_total_head_and_shoulders,head_and_shoulders_cnt,head_and_shoulders_confirmed_cnt,y_inverse_head_and_shoulders,p_inverse_head_and_shoulders,lf_votes_inverse_head_and_shoulders,lf_total_inverse_head_and_shoulders,inverse_head_and_shoulders_cnt,inverse_head_and_shoulders_confirmed_cnt,p_double_top,lf_votes_double_top,lf_total_double_top,y_double_top,double_top_cnt,double_top_confirmed_cnt,p_double_bottom,lf_votes_double_bottom,lf_total_double_bottom,y_double_bottom,double_bottom_cnt,double_bottom_confirmed_cnt,y_descending_triangle,p_descending_triangle,lf_votes_descending_triangle,lf_total_descending_triangle,descending_triangle_cnt,descending_triangle_confirmed_cnt
AAPL_1h_1752593400_1755264600_42.png,test,AAPL,1h,2025-07-15T15:30:00+00:00,2025-08-15T13:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,0,0
AAPL_1h_1753277400_1755887400_42.png,test,AAPL,1h,2025-07-23T13:30:00+00:00,2025-08-22T18:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,5,6,-1,1,0,0.0,0,0,0,0,0,0,,,,0,0
AAPL_1h_1753900200_1756830600_42.png,test,AAPL,1h,2025-07-30T18:30:00+00:00,2025-09-02T16:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,5,6,-1,1,0,0.0,0,0,0,0,0,0,,,,0,0
AAPL_1h_1754584200_1757514600_42.png,test,AAPL,1h,2025-08-07T16:30:00+00:00,2025-09-10T14:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,2,0,0.8333,5,6,-1,1,0,0,,,,0,0
AAPL_1h_1755268200_1758137400_42.png,test,AAPL,1h,2025-08-15T14:30:00+00:00,2025-09-17T19:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,3,0,0.8333,10,12,-1,2,0,0,,,,0,0
AAPL_1h_1755891000_1758821400_42.png,test,AAPL,1h,2025-08-22T19:30:00+00:00,2025-09-25T17:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.75,9,12,-1,4,0,0.75,9,12,-1,3,0,0,,,,0,0
AAPL_1h_1756834200_1759505400_42.png,test,AAPL,1h,2025-09-02T17:30:00+00:00,2025-10-03T15:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,5,6,-1,1,0,0.0,0,0,0,0,0,0,,,,0,0
AAPL_1h_1757518200_1760362200_42.png,test,AAPL,1h,2025-09-10T15:30:00+00:00,2025-10-13T13:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,5,6,-1,1,0,0.8333,5,6,-1,1,0,1,,,,2,2
AAPL_1h_1758202200_1760985000_42.png,test,AAPL,1h,2025-09-18T13:30:00+00:00,2025-10-20T18:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,3,0,0.8333,10,12,-1,3,0,0,,,,0,0
AAPL_1h_1758825000_1761669000_42.png,test,AAPL,1h,2025-09-25T18:30:00+00:00,2025-10-28T16:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.75,9,12,-1,5,0,0.8333,10,12,-1,3,0,0,,,,0,0
AMZN_1h_1752593400_1755264600_42.png,test,AMZN,1h,2025-07-15T15:30:00+00:00,2025-08-15T13:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,4,0,0.8333,10,12,-1,4,0,0,,,,0,0
AMZN_1h_1753277400_1755887400_42.png,test,AMZN,1h,2025-07-23T13:30:00+00:00,2025-08-22T18:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,2,0,0.8333,5,6,-1,1,0,0,,,,0,0
AMZN_1h_1753900200_1756830600_42.png,test,AMZN,1h,2025-07-30T18:30:00+00:00,2025-09-02T16:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,2,0,0.8333,5,6,-1,1,0,0,,,,0,0
AMZN_1h_1754584200_1757514600_42.png,test,AMZN,1h,2025-08-07T16:30:00+00:00,2025-09-10T14:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,2,0,0.8333,5,6,-1,1,0,0,,,,0,0
AMZN_1h_1755268200_1758137400_42.png,test,AMZN,1h,2025-08-15T14:30:00+00:00,2025-09-17T19:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,4,0,0.8333,10,12,-1,3,0,0,,,,0,0
AMZN_1h_1755891000_1758821400_42.png,test,AMZN,1h,2025-08-22T19:30:00+00:00,2025-09-25T17:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,3,0,0.8333,5,6,-1,1,0,0,,,,0,0
AMZN_1h_1756834200_1759505400_42.png,test,AMZN,1h,2025-09-02T17:30:00+00:00,2025-10-03T15:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.75,9,12,-1,3,0,0.8333,10,12,-1,2,0,0,,,,0,0
AMZN_1h_1757518200_1760362200_42.png,test,AMZN,1h,2025-09-10T15:30:00+00:00,2025-10-13T13:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.75,9,12,-1,5,0,0.75,9,12,-1,3,0,0,,,,0,0
AMZN_1h_1758202200_1760985000_42.png,test,AMZN,1h,2025-09-18T13:30:00+00:00,2025-10-20T18:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.75,9,12,-1,4,0,0.8333,10,12,-1,2,0,0,,,,0,0
AMZN_1h_1758825000_1761669000_42.png,test,AMZN,1h,2025-09-25T18:30:00+00:00,2025-10-28T16:30:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,5,0,0.8333,10,12,-1,3,0,0,,,,0,0
BTC-USD_1h_1754726400_1755298800_42.png,test,BTC-USD,1h,2025-08-09T08:00:00+00:00,2025-08-15T23:00:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.9167,11,12,1,2,1,0.8333,5,6,-1,1,0,0,,,,0,0
BTC-USD_1h_1754870400_1755442800_42.png,test,BTC-USD,1h,2025-08-11T00:00:00+00:00,2025-08-17T15:00:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.9167,11,12,1,3,1,0.8333,10,12,-1,2,0,0,,,,0,0
BTC-USD_1h_1755014400_1755586800_42.png,test,BTC-USD,1h,2025-08-12T16:00:00+00:00,2025-08-19T07:00:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.9167,11,12,1,4,1,0.8333,10,12,-1,2,0,0,,,,0,0
BTC-USD_1h_1755158400_1755730800_42.png,test,BTC-USD,1h,2025-08-14T08:00:00+00:00,2025-08-20T23:00:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,3,0,0.8333,10,12,-1,4,0,0,,,,0,0
BTC-USD_1h_1755302400_1755874800_42.png,test,BTC-USD,1h,2025-08-16T00:00:00+00:00,2025-08-22T15:00:00+00:00,160,960,640,0,,,,0,0,0,,,,0,0,0.8333,10,12,-1,4,0,0.8333,5,6,-1,1,0,0,,,,0,0
